ano,sigla_uf,id_municipio,nome,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2021,PB,2505105,Cuité,publica,medio,todos (1-4),100.0,1.0,264.78,274.85,4.522855,4.5,
2017,PB,2501534,Baraúna,publica,medio,todos (1-4),66.8,0.71841502,253.66,262.67,4.18434,3.0,
2017,PB,2502201,Bom Jesus,estadual,medio,todos (1-4),85.7,0.85585701,246.88,260.3,4.0537858,3.5,
2017,PB,2502300,Bom Sucesso,estadual,medio,todos (1-4),81.5,0.820198,235.44,236.61,3.538471,2.9,
2017,PB,2515005,São Miguel de Taipu,estadual,medio,todos (1-4),82.1,0.82293898,229.44,243.07,3.550899,2.9,
2017,PB,2504801,Coremas,estadual,medio,todos (1-4),76.7,0.78301698,266.23,259.1,4.3077321,3.4,
2017,PB,2516409,Tacima,estadual,medio,todos (1-4),61.8,0.61654502,240.91,240.88,3.6792099,2.3,
2017,PB,2502003,Belém do Brejo do Cruz,publica,medio,todos (1-4),76.7,0.77588898,243.44,235.41,3.632858,2.8,
2017,PB,2511509,Pilar,estadual,medio,todos (1-4),73.2,0.746297,239.94,249.08,3.7882011,2.8,
2017,PB,2512309,Princesa Isabel,publica,medio,todos (1-4),78.1,0.83713502,267.57,265.48,4.422061,3.7,
2017,PB,2501005,Araruna,publica,medio,todos (1-4),73.1,0.72257698,238.46,235.97,3.571157,2.6,
2017,PB,2510600,Ouro Velho,publica,medio,todos (1-4),85.5,0.84290701,235.13,243.57,3.638159,3.1,
2019,PB,2502904,Brejo dos Santos,estadual,medio,todos (1-4),72.1,0.71922201,251.52,260.92,4.1282358,3.0,3.6
2019,PB,2507705,Juazeirinho,estadual,medio,todos (1-4),89.8,0.89655799,263.51,268.52,4.410408,4.0,3.6
2019,PB,2504405,Conceição,estadual,medio,todos (1-4),81.2,0.74857599,248.05,250.47,3.9229131,2.9,2.7
2019,PB,2501203,Areial,estadual,medio,todos (1-4),72.9,0.73634601,294.33,298.76,5.2961078,3.9,3.2
2019,PB,2517001,Umbuzeiro,estadual,medio,todos (1-4),91.3,0.917705,237.86,235.07,3.549397,3.3,3.1
2019,PB,2500106,Água Branca,publica,medio,todos (1-4),78.2,0.804407,281.98,274.67,4.7618842,3.8,4.0
2019,PB,2510709,Passagem,estadual,medio,todos (1-4),93.2,0.929658,288.48,281.67,4.9578161,4.6,4.6
2019,PB,2502300,Bom Sucesso,estadual,medio,todos (1-4),97.3,0.97460502,270.11,271.35,4.54561,4.4,3.1
2019,PB,2512705,Remígio,publica,medio,todos (1-4),65.6,0.65388203,269.25,281.27,4.6818938,3.1,3.0
2019,PB,2509156,Marizópolis,publica,medio,todos (1-4),94.7,0.94208997,271.66,263.82,4.454515,4.2,3.0
2019,PB,2516755,Tenório,publica,medio,todos (1-4),94.4,0.94254601,283.0,288.32,4.9805508,4.7,4.2
2021,PB,2500700,São João do Rio do Peixe,publica,medio,todos (1-4),99.3,0.971518,254.27,267.82,4.270004,4.1,
2021,PB,2503100,Cabaceiras,publica,medio,todos (1-4),99.0,0.99062,268.5,275.02,4.577648,4.5,
2021,PB,2514602,São José do Bonfim,publica,medio,todos (1-4),97.9,0.977617,232.73,244.0,3.610889,3.5,
2017,PB,2501500,Bananeiras,estadual,medio,todos (1-4),64.6,0.71103102,235.58,235.02,3.5166259,2.5,
2017,PB,2504900,Cruz do Espírito Santo,publica,medio,todos (1-4),78.9,0.79808998,220.14,227.22,3.1831551,2.5,
2017,PB,2506400,Gurinhém,publica,medio,todos (1-4),79.0,0.79636103,220.94,222.72,3.1268859,2.5,
2017,PB,2512408,Puxinanã,estadual,medio,todos (1-4),85.4,0.85980302,239.46,253.86,3.8530159,3.3,
2017,PB,2505204,Cuitegi,estadual,medio,todos (1-4),73.3,0.72721601,235.0,237.94,3.5521929,2.6,
2017,PB,2509404,Mogeiro,estadual,medio,todos (1-4),63.7,0.64037299,255.24,251.33,4.036921,2.6,
2019,PB,2509396,Maturéia,publica,medio,todos (1-4),76.3,0.75032699,257.33,246.88,3.9997981,3.0,2.8
2019,PB,2516102,Soledade,publica,medio,todos (1-4),94.5,0.94730598,271.79,281.08,4.7148638,4.5,3.1
2019,PB,2503209,Cabedelo,estadual,medio,todos (1-4),74.3,0.74527597,241.69,251.69,3.852001,2.9,2.4
2019,PB,2506806,Ingá,estadual,medio,todos (1-4),75.2,0.76434702,265.35,270.38,4.4640851,3.4,2.8
2019,PB,2507101,Itapororoca,estadual,medio,todos (1-4),86.8,0.87002301,246.33,249.24,3.880343,3.4,2.8
2019,PB,2512200,Prata,estadual,medio,todos (1-4),88.2,0.89771402,272.42,287.79,4.824162,4.3,3.9
2019,PB,2505238,Cuité de Mamanguape,publica,medio,todos (1-4),72.6,0.71723503,247.67,251.83,3.938076,2.8,3.2
2019,PB,2500734,Amparo,estadual,medio,todos (1-4),98.3,0.98453599,218.53,238.11,3.3235669,3.3,3.1
2019,PB,2512754,Riachão do Bacamarte,estadual,medio,todos (1-4),80.1,0.80239201,244.38,269.35,4.1541529,3.3,
2019,PB,2504207,Catingueira,estadual,medio,todos (1-4),89.9,0.90235198,288.19,294.94,5.1523962,4.6,4.5
